id_entidad,Nombre de la entidad federativa
des_entidad,
id_municipio,
folio,
des_municipio,
gen2008,Indica la generación por delegación para el año señalado
rec_delegacional_barrido_2008,Indica la recolección de los servicios delegacionales para el año señalado
sitio_trans_2008,Indica la cantidad que llegó a transferencia en el año señalado
sitio_trans_rec_delegacional_2008,Indica la cantidad que llegó al sitio de transferencia y que procede de la recolección delegacional en el año señalado
sitio_seleccion_2008,Indica la can tidad que entró al sitio de selección. 
sitio_disp_final_2008,Indica la cantidad que llegó al sitio de disposición final 
gen2009,Indica la generación por delegación para el año señalado
rec_delegacional_barrido_2009,Indica la recolección de los servicios delegacionales para el año señalado
sitio_trans_2009,Indica la cantidad que llegó a transferencia en el año señalado
sitio_trans_rec_delegacional_2009,Indica la cantidad que llegó al sitio de transferencia y que procede de la recolección delegacional en el año señalado
sitio_seleccion_2009,Indica la can tidad que entró al sitio de selección. 
sitio_disp_final_2009,Indica la cantidad que llegó al sitio de disposición final 
gen_2010,Indica la generación por delegación para el año señalado
rec_delegacional_barrido_2010,Indica la recolección de los servicios delegacionales para el año señalado
sitio_trans_2010,Indica la cantidad que llegó a transferencia en el año señalado
sitio_trans_rec_delegacional_2010,Indica la cantidad que llegó al sitio de transferencia y que procede de la recolección delegacional en el año señalado
sitio_seleccion_2010,Indica la can tidad que entró al sitio de selección. 
sitio_disp_final_2010,Indica la cantidad que llegó al sitio de disposición final 
gen_2011,Indica la generación por delegación para el año señalado
rec_delegacional_barrido_2011,Indica la recolección de los servicios delegacionales para el año señalado
sitio_trans_2011,Indica la cantidad que llegó a transferencia en el año señalado
sitio_trans_rec_delegacional_2011,Indica la cantidad que llegó al sitio de transferencia y que procede de la recolección delegacional en el año señalado
sitio_seleccion_2011,Indica la can tidad que entró al sitio de selección. 
sitio_disp_final_2011,Indica la cantidad que llegó al sitio de disposición final 
gen_2012,Indica la generación por delegación para el año señalado
rec_delegacional_barrido_2012,Indica la recolección de los servicios delegacionales para el año señalado
sitio_trans_2012,Indica la cantidad que llegó a transferencia en el año señalado
sitio_trans_rec_delegacional_2012,Indica la cantidad que llegó al sitio de transferencia y que procede de la recolección delegacional en el año señalado
sitio_seleccion_2012,Indica la can tidad que entró al sitio de selección. 
sitio_disp_final_2012,Indica la cantidad que llegó al sitio de disposición final 
gen_2013,Indica la generación por delegación para el año señalado
rec_delegacional_barrido_2013,Indica la recolección de los servicios delegacionales para el año señalado
sitio_trans_2013,Indica la cantidad que llegó a transferencia en el año señalado
sitio_trans_rec_delegacional_2013,Indica la cantidad que llegó al sitio de transferencia y que procede de la recolección delegacional en el año señalado
sitio_seleccion_2013,Indica la can tidad que entró al sitio de selección. 
sitio_disp_final_2013,Indica la cantidad que llegó al sitio de disposición final 
gen_2014,Indica la generación por delegación para el año señalado
rec_delegacional_barrido_2014,Indica la recolección de los servicios delegacionales para el año señalado
sitio_trans_2014,Indica la cantidad que llegó a transferencia en el año señalado
sitio_trans_rec_delegacional_2014,Indica la cantidad que llegó al sitio de transferencia y que procede de la recolección delegacional en el año señalado
sitio_seleccion_2014,Indica la can tidad que entró al sitio de selección. 
sitio_disp_final_2014,Indica la cantidad que llegó al sitio de disposición final 
gen_2015,Indica la generación por delegación para el año señalado
